iter	MAE	RMSE
1215	0.6026810009	0.7882744477
1220	0.6026329659	0.7882191876
1225	0.602552962	0.7881390004
1230	0.602492908	0.7880854427
1235	0.6024492881	0.7880274717
1240	0.6024104104	0.7879789907
1245	0.6023632747	0.7879319076
1250	0.6022646291	0.7878132145
1255	0.602219374	0.7877590897
1260	0.602159647	0.7877036638
1265	0.6021289046	0.7876668147
1270	0.6020873696	0.7876291335
1275	0.6020630046	0.7875990288
1280	0.6020394164	0.7875819776
1285	0.6020106362	0.7875443443
1290	0.6019729441	0.7875088634
1295	0.6019262581	0.7874519662
1300	0.6018886886	0.7874026451
1305	0.6018501379	0.7873463892
1310	0.6018087664	0.7873073945
1315	0.601794172	0.7872828337
1320	0.6017378381	0.787201876
1325	0.6017229166	0.7871668212
1330	0.6016860011	0.787110938
1335	0.6016609003	0.7870812549
1340	0.6016121703	0.7870209245
1345	0.6015983934	0.7870123277
1350	0.6015241537	0.7869309786
1355	0.6014858075	0.7868981717
1360	0.6014680652	0.7868719095
1365	0.6013997941	0.7868223701
1370	0.6013752247	0.7867993009
1375	0.6012762521	0.7866980014
1380	0.6012520915	0.7866860233
1385	0.6012040973	0.78664354
1390	0.6011844336	0.7866162559
1395	0.601128018	0.7865639978
1400	0.6011127694	0.7865475479
1405	0.6010924925	0.7865221836
1410	0.6010852975	0.7865154006
1415	0.6010328473	0.7864346239
1420	0.6010028407	0.7863985471
1425	0.6009575447	0.7863648082
1430	0.600898063	0.7863256609
1435	0.6008015433	0.7862162408
1440	0.6007598448	0.7861501239
1445	0.6007116053	0.7860791648
1450	0.60068769	0.7860420056
1455	0.6006326235	0.7859599058
1460	0.6006012678	0.7859130399
1465	0.600539783	0.7858527238
1470	0.6004603923	0.785758508
1475	0.6004357003	0.7857146218
1480	0.6003889325	0.7856512204
1485	0.6002753654	0.7855308297
1490	0.6002093837	0.785469157
1495	0.6001602858	0.7854078179
1500	0.6000686308	0.7853088636
1505	0.599989976	0.7852187997
1510	0.5999441894	0.7851836824
1515	0.5998554779	0.7850635584
1520	0.5997999617	0.7850001566
1525	0.5997550336	0.7849676595
1530	0.5997460807	0.7849554988
1535	0.5997332441	0.7849331559
1540	0.5996896651	0.7848999009
1545	0.5996371331	0.7848515653
1550	0.5996215575	0.7848285162
1555	0.5995359121	0.784749858
1560	0.5994837889	0.7847098747
1565	0.5994806002	0.7847023467
1570	0.5994403734	0.7846346954
1575	0.5994196468	0.7845923355
1580	0.5994050524	0.7845744895
1585	0.5993925428	0.7845588315
1590	0.5993699357	0.7845272281
1595	0.5992987621	0.7844322538
1600	0.5992728436	0.7843953032
1605	0.599204736	0.7843416983
1610	0.5991875661	0.7843194422
1615	0.5991589903	0.7842964037
1620	0.5990782915	0.7841949633
1625	0.5989937498	0.7840705166
1630	0.5989592055	0.784018167
1635	0.5989352901	0.7839835435
1640	0.5988949407	0.7839451116
1645	0.5988355817	0.7838892334
1650	0.5988158771	0.7838566642
1655	0.5987273291	0.7837665899
1660	0.5986997754	0.7837274954
1665	0.5986475705	0.7836509438
1670	0.598624391	0.7836137216
1675	0.5985675666	0.7835580024
1680	0.5985331449	0.7835082013
1685	0.5985127862	0.7834961484
1690	0.5984663864	0.7834469695
1695	0.5984508108	0.783418113
1700	0.5984072318	0.7833624843
1705	0.5983956625	0.783351238
1710	0.5983326651	0.7832757457
1715	0.5982779256	0.7832035083
1720	0.5982269471	0.7831375546
1725	0.598176868	0.7830713343
1730	0.5981352104	0.7830251047
1735	0.5981141976	0.7829985038
1740	0.5980598669	0.7829232646
1745	0.5980038601	0.782861726
1750	0.5979679258	0.7828273907
1755	0.5979129002	0.7827582718
1760	0.5978685035	0.7826946048
1765	0.597834041	0.7826556135
1770	0.5977845751	0.7826103779
1775	0.5977624585	0.7825845204
1780	0.5977051027	0.7825310004
1785	0.597638058	0.7824300103
1790	0.5975914129	0.7823829329
1795	0.5975515949	0.7823361401
1800	0.5975013932	0.7822954063
1805	0.5974414618	0.7822271811
1810	0.5974158704	0.7821879051
1815	0.597363175	0.7821385917
1820	0.59734531	0.7821210817
1825	0.5972770389	0.7820379169
1830	0.5972182522	0.7819651208
1835	0.5971582391	0.7818974419
1840	0.5971360408	0.7818711425
1845	0.5970586533	0.7817720282
1850	0.5970432003	0.7817470842
1855	0.5970007659	0.7817001748
1860	0.5969756651	0.7816588588
1865	0.5969063311	0.7815572592
1870	0.5967959936	0.7814139773
1875	0.5967521284	0.781366734
1880	0.5967200778	0.7813216593
1885	0.5967042978	0.7813057268
1890	0.5966799328	0.7812761633
1895	0.5966545049	0.7812361854
1900	0.5966104353	0.7811918358
1905	0.5965292459	0.7810879248
1910	0.5964925757	0.7810453464
1915	0.5964625691	0.7810176836
1920	0.5963967509	0.7809243764
1925	0.5963654362	0.7808906104
1930	0.596311269	0.7808259011
1935	0.5962786461	0.7807749833
1940	0.5962333092	0.7807035618
1945	0.5962116423	0.7806644186
1950	0.5961736231	0.7806330241
1955	0.5961499122	0.7806111336
1960	0.5961136917	0.7805613802
1965	0.5960655749	0.7805136925
1970	0.5960330337	0.7804658186
1975	0.5960103039	0.7804493972
1980	0.5959941151	0.7804292302
1985	0.5959399479	0.7803585891
1990	0.5959044633	0.7803025851
1995	0.5958748247	0.7802594398
1999	0.5958536893	0.780243119
